"Kod","Miejscowość","Dzielnica","Ulica","Numery","Gmina","Powiat","Województwo"
"94-239","Łódź","Polesie","Łubinowa","26-DK(p), 33-DK(n)","Łódź","Łódź","łódzkie"
"91-225","Łódź","Bałuty","Nowożeńców","","Łódź","Łódź","łódzkie"
"91-513","Łódź","Bałuty","Studencka","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-495","Łódź","Bałuty","Zgierska","233-DK(n)","Łódź","Łódź","łódzkie"
"92-645","Łódź","Widzew","Rzeźna","","Łódź","Łódź","łódzkie"
"93-240","Łódź","Górna","Ujejskiego Kornela","","Łódź","Łódź","łódzkie"
"90-559","Łódź","Polesie","28 Pułku Strzelców Kaniowskich","48-DK(p)","Łódź","Łódź","łódzkie"
"90-302","Łódź","Śródmieście","Sienkiewicza Henryka","125-157(n)","Łódź","Łódź","łódzkie"
"91-480","Łódź","Bałuty","Botaniczna","","Łódź","Łódź","łódzkie"
"91-503","Łódź","Bałuty","Rysia","","Łódź","Łódź","łódzkie"
"93-259","Łódź","Górna","Gałczyńskiego Konstantego Ildefonsa","","Łódź","Łódź","łódzkie"
"93-345","Łódź","Górna","Kwiecista","","Łódź","Łódź","łódzkie"
"94-117","Łódź","Polesie","Czerwonego Kapturka","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"94-287","Łódź","Polesie","Łukawskiego Stanisława","","Łódź","Łódź","łódzkie"
"91-039","Łódź","Bałuty","Obornicka","1-DK(n), 2, 10-DK(p)","Łódź","Łódź","łódzkie"
"91-342","Łódź","Bałuty","Swojska","","Łódź","Łódź","łódzkie"
"91-463","Łódź","Bałuty","Zgierska","63-73(n)","Łódź","Łódź","łódzkie"
"92-008","Łódź","Widzew","Saneczkowa","","Łódź","Łódź","łódzkie"
"93-026","Łódź","Górna","Ukryta","","Łódź","Łódź","łódzkie"
"90-558","Łódź","Polesie","28 Pułku Strzelców Kaniowskich","59-DK(n)","Łódź","Łódź","łódzkie"
"90-114","Łódź","Śródmieście","Sienkiewicza Henryka","15-41(n), 16-36(p)","Łódź","Łódź","łódzkie"
"91-704","Łódź","Bałuty","Boya-Żeleńskiego Tadeusza","10-DK(p)","Łódź","Łódź","łódzkie"
"91-857","Łódź","Bałuty","Rysownicza","36-DK(p), 39-DK(n)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-633","Łódź","Górna","Gatunkowa","","Łódź","Łódź","łódzkie"
"93-361","Łódź","Górna","Kwietniowa","","Łódź","Łódź","łódzkie"
"94-217","Łódź","Polesie","Czołgistów","1-37(n), 2-50a(p)","Łódź","Łódź","łódzkie"
"90-615","Łódź","Polesie","Mała","","Łódź","Łódź","łódzkie"
"91-812","Łódź","Bałuty","Obrońców Warszawy","11-DK","Łódź","Łódź","łódzkie"
"91-496","Łódź","Bałuty","Syrenki","","Łódź","Łódź","łódzkie"
"91-610","Łódź","Bałuty","Zjazdowa","","Łódź","Łódź","łódzkie"
"92-014","Łódź","Widzew","Sądecka","","Łódź","Łódź","łódzkie"
"93-259","Łódź","Górna","Umińskiego Władysława","","Łódź","Łódź","łódzkie"
"90-623","Łódź","Polesie","6 Sierpnia","22-36(p)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"90-058","Łódź","Śródmieście","Sienkiewicza Henryka","52-68(p)","Łódź","Łódź","łódzkie"
"91-703","Łódź","Bałuty","Bracka","27-33(n), 28","Łódź","Łódź","łódzkie"
"91-613","Łódź","Bałuty","Sabały","","Łódź","Łódź","łódzkie"
"93-259","Łódź","Górna","Gersona Wojciecha","","Łódź","Łódź","łódzkie"
"93-469","Łódź","Górna","Latawcowa","","Łódź","Łódź","łódzkie"
"94-246","Łódź","Polesie","Deca Wacława (Profesora Wacława Deca)","","Łódź","Łódź","łódzkie"
"94-007","Łódź","Polesie","Maratońska","70-170(p), 71-205(n)","Łódź","Łódź","łódzkie"
"91-062","Łódź","Bałuty","Ogrodowa","1-14","Łódź","Łódź","łódzkie"
"91-528","Łódź","Bałuty","Szafirowa","","Łódź","Łódź","łódzkie"
"91-358","Łódź","Bałuty","Złocieniowa","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"92-005","Łódź","Widzew","Serpentyna","","Łódź","Łódź","łódzkie"
"93-009","Łódź","Górna","Unicka","2-DK(p)","Łódź","Łódź","łódzkie"
"90-617","Łódź","Polesie","6 Sierpnia","35-51(n)","Łódź","Łódź","łódzkie"
"90-318","Łódź","Śródmieście","Sienkiewicza Henryka","70-86(p)","Łódź","Łódź","łódzkie"
"91-709","Łódź","Bałuty","Bracka","35-45(n)","Łódź","Łódź","łódzkie"
"91-468","Łódź","Bałuty","Sadowa","22-DK","Łódź","Łódź","łódzkie"
"93-452","Łódź","Górna","Głębinowa","","Łódź","Łódź","łódzkie"
"93-247","Łódź","Górna","Leśmiana Bolesława","","Łódź","Łódź","łódzkie"
"93-469","Łódź","Polesie","Dedala","","Łódź","Łódź","łódzkie"
"94-258","Łódź","Polesie","Markietanki","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-852","Łódź","Bałuty","Okopowa","30-40a(p)","Łódź","Łódź","łódzkie"
"91-037","Łódź","Bałuty","Szamotulska","","Łódź","Łódź","łódzkie"
"91-836","Łódź","Bałuty","Złotnicza","2-DK(p)","Łódź","Łódź","łódzkie"
"92-231","Łódź","Widzew","Sępia","","Łódź","Łódź","łódzkie"
"93-472","Łódź","Górna","Uroczysko","","Łódź","Łódź","łódzkie"
"90-636","Łódź","Polesie","6 Sierpnia","53-61(n)","Łódź","Łódź","łódzkie"
"90-301","Łódź","Śródmieście","Sienkiewicza Henryka","97-123(n)","Łódź","Łódź","łódzkie"
"91-232","Łódź","Bałuty","Bruzdowa","","Łódź","Łódź","łódzkie"
"91-177","Łódź","Bałuty","Safrina Horacego","","Łódź","Łódź","łódzkie"
"93-249","Łódź","Górna","Gojawiczyńskiej Poli","1-14","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-441","Łódź","Górna","Leśna","","Łódź","Łódź","łódzkie"
"91-079","Łódź","Polesie","Długosza Jana","11-19(n), 16-24(p)","Łódź","Łódź","łódzkie"
"94-217","Łódź","Polesie","Michałowicza Jerzego","1-DK(n)","Łódź","Łódź","łódzkie"
"91-604","Łódź","Bałuty","Okólna","1-27(n), 2-30(p)","Łódź","Łódź","łódzkie"
"91-222","Łódź","Bałuty","Szczecińska","6-118(p), 13-139(n)","Łódź","Łódź","łódzkie"
"91-838","Łódź","Bałuty","Zofii","","Łódź","Łódź","łódzkie"
"92-605","Łódź","Widzew","Sielanki","","Łódź","Łódź","łódzkie"
"93-341","Łódź","Górna","Ustronna","50-DK","Łódź","Łódź","łódzkie"
"90-606","Łódź","Polesie","6 Sierpnia","9-13(n)","Łódź","Łódź","łódzkie"
"90-532","Łódź","Śródmieście","Skorupki Ignacego (Księdza Harcmistrza Ignacego Skorupki)","12-DK(p), 15-DK(n)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-739","Łódź","Bałuty","Brzeska","","Łódź","Łódź","łódzkie"
"91-225","Łódź","Bałuty","Selerowa","","Łódź","Łódź","łódzkie"
"93-253","Łódź","Górna","Gojawiczyńskiej Poli","15-17a(n), 19-DK","Łódź","Łódź","łódzkie"
"93-430","Łódź","Górna","Leżakowa","","Łódź","Łódź","łódzkie"
"91-083","Łódź","Polesie","Długosza Jana","21-25(n), 26-34(p)","Łódź","Łódź","łódzkie"
"94-306","Łódź","Polesie","Michałowicza Jerzego","2-DK(p)","Łódź","Łódź","łódzkie"
"91-227","Łódź","Bałuty","Okręglik","","Łódź","Łódź","łódzkie"
"91-818","Łódź","Bałuty","""Szendzielarza Łupaszki Zygmunta (Majora Zygmunta Szendzielarza """"Łupaszki"""")""","","Łódź","Łódź","łódzkie"
"91-457","Łódź","Bałuty","Żabia","","Łódź","Łódź","łódzkie"
"92-007","Łódź","Widzew","Skalna","41-DK(n), 44-DK(p)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-435","Łódź","Górna","Wazów","","Łódź","Łódź","łódzkie"
"94-118","Łódź","Polesie","Andersena Christiana","","Łódź","Łódź","łódzkie"
"90-161","Łódź","Śródmieście","Solskiego Ludwika","","Łódź","Łódź","łódzkie"
"91-315","Łódź","Bałuty","Brzóski Stanisława (Księdza Stanisława Brzóski)","3-25(n), 12-15a","Łódź","Łódź","łódzkie"
"91-520","Łódź","Bałuty","Serwituty","","Łódź","Łódź","łódzkie"
"93-405","Łódź","Górna","Gombrowicza Witolda","","Łódź","Łódź","łódzkie"
"93-333","Łódź","Górna","Lotna","","Łódź","Łódź","łódzkie"
"91-088","Łódź","Polesie","Długosza Jana","27-DK(n), 36-DK(p)","Łódź","Łódź","łódzkie"
"94-304","Łódź","Polesie","Minerska","","Łódź","Łódź","łódzkie"
"91-611","Łódź","Bałuty","Okrętowa","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-450","Łódź","Bałuty","Szeroka","","Łódź","Łódź","łódzkie"
"91-202","Łódź","Bałuty","Żabieniec","1-61(n), 2-54(p)","Łódź","Łódź","łódzkie"
"92-611","Łódź","Widzew","Słonimskiego Antoniego","","Łódź","Łódź","łódzkie"
"93-361","Łódź","Górna","Wczesna","","Łódź","Łódź","łódzkie"
"94-130","Łódź","Polesie","""Armii """"Łódź""""""","","Łódź","Łódź","łódzkie"
"90-217","Łódź","Śródmieście","Sterlinga Seweryna (Doktora Seweryna Sterlinga)","10-22(p), 11-19(n)","Łódź","Łódź","łódzkie"
"91-347","Łódź","Bałuty","Brzóski Stanisława (Księdza Stanisława Brzóski)","77-DK(n), 92-DK(p)","Łódź","Łódź","łódzkie"
"91-304","Łódź","Bałuty","Sędziowska","2-DK(p)","Łódź","Łódź","łódzkie"
"93-453","Łódź","Górna","Goplany","","Łódź","Łódź","łódzkie"
"93-469","Łódź","Górna","Lublinek","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-085","Łódź","Polesie","Drewnowska","162-182(p), 173-DK(n)","Łódź","Łódź","łódzkie"
"94-226","Łódź","Polesie","Mocarna","","Łódź","Łódź","łódzkie"
"91-481","Łódź","Bałuty","Olszowa","","Łódź","Łódź","łódzkie"
"91-844","Łódź","Bałuty","Szklana","","Łódź","Łódź","łódzkie"
"91-321","Łódź","Bałuty","Żeglarska","","Łódź","Łódź","łódzkie"
"92-305","Łódź","Widzew","Służbowa","","Łódź","Łódź","łódzkie"
"93-228","Łódź","Górna","Wedmanowej Marii","","Łódź","Łódź","łódzkie"
"91-072","Łódź","Polesie","Artyleryjska","","Łódź","Łódź","łódzkie"
"90-212","Łódź","Śródmieście","Sterlinga Seweryna (Doktora Seweryna Sterlinga)","21-33(n), 26-27","Łódź","Łódź","łódzkie"
"91-610","Łódź","Bałuty","Budy","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-228","Łódź","Bałuty","Sianokosy","","Łódź","Łódź","łódzkie"
"93-335","Łódź","Górna","Gospodarcza","","Łódź","Łódź","łódzkie"
"93-423","Łódź","Górna","Lubuska","","Łódź","Łódź","łódzkie"
"94-226","Łódź","Polesie","Drużynowa","","Łódź","Łódź","łódzkie"
"91-073","Łódź","Polesie","Naftowa","","Łódź","Łódź","łódzkie"
"91-327","Łódź","Bałuty","Olsztyńska","4-22(p), 11-25(n)","Łódź","Łódź","łódzkie"
"91-851","Łódź","Bałuty","Szklarska","","Łódź","Łódź","łódzkie"
"91-858","Łódź","Bałuty","Żołędziowa","","Łódź","Łódź","łódzkie"
"92-448","Łódź","Widzew","Sobieskiego Jana III","","Łódź","Łódź","łódzkie"
"93-435","Łódź","Górna","Wejherowska","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"94-056","Łódź","Polesie","Babickiego Józefa","","Łódź","Łódź","łódzkie"
"90-513","Łódź","Śródmieście","Struga Andrzeja","12-28(p)","Łódź","Łódź","łódzkie"
"91-036","Łódź","Bałuty","Bydgoska","","Łódź","Łódź","łódzkie"
"91-316","Łódź","Bałuty","Sierakowskiego Zygmunta","20-42(p), 25-35(n)","Łódź","Łódź","łódzkie"
"93-356","Łódź","Górna","Gościnna","","Łódź","Łódź","łódzkie"
"93-361","Łódź","Górna","Luźna","","Łódź","Łódź","łódzkie"
"94-237","Łódź","Polesie","Dywizjonu 303","","Łódź","Łódź","łódzkie"
"94-102","Łódź","Polesie","Nowe Sady","","Łódź","Łódź","łódzkie"
"91-360","Łódź","Bałuty","Onyksowa","","Łódź","Łódź","łódzkie"
"91-503","Łódź","Bałuty","Szpacza","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-520","Łódź","Bałuty","Żółwiowa","","Łódź","Łódź","łódzkie"
"92-742","Łódź","Widzew","Sołecka","","Łódź","Łódź","łódzkie"
"93-458","Łódź","Górna","Wędkarska","","Łódź","Łódź","łódzkie"
"94-108","Łódź","Polesie","Balonowa","","Łódź","Łódź","łódzkie"
"90-420","Łódź","Śródmieście","Struga Andrzeja","1-7(n)","Łódź","Łódź","łódzkie"
"91-156","Łódź","Bałuty","Bylinowa","","Łódź","Łódź","łódzkie"
"91-324","Łódź","Bałuty","Sierakowskiego Zygmunta","63-81(n), 70-86(p)","Łódź","Łódź","łódzkie"
"93-428","Łódź","Górna","Graniczna","","Łódź","Łódź","łódzkie"
"93-370","Łódź","Górna","Łagodna","","Łódź","Łódź","łódzkie"
"94-042","Łódź","Polesie","Florecistów","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"94-406","Łódź","Polesie","Nowy Józefów","","Łódź","Łódź","łódzkie"
"91-825","Łódź","Bałuty","""Organizacji """"Wolność i Niezawisłość""""""","1-28","Łódź","Łódź","łódzkie"
"91-211","Łódź","Bałuty","Szparagowa","","Łódź","Łódź","łódzkie"
"91-022","Łódź","Bałuty","Żubardzka","1-9(n)","Łódź","Łódź","łódzkie"
"92-116","Łódź","Widzew","Spartakusa","2-DK","Łódź","Łódź","łódzkie"
"93-372","Łódź","Górna","Widna","","Łódź","Łódź","łódzkie"
"94-215","Łódź","Polesie","Barska","","Łódź","Łódź","łódzkie"
"91-403","Łódź","Śródmieście","Tamka","","Łódź","Łódź","łódzkie"
"91-527","Łódź","Bałuty","Bzury","","Łódź","Łódź","łódzkie"
"91-347","Łódź","Bałuty","Sierakowskiego Zygmunta","88-102a(p), 97","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-521","Łódź","Górna","Granitowa","","Łódź","Łódź","łódzkie"
"93-310","Łódź","Górna","Łazowskiego Klaudiusza","1-28","Łódź","Łódź","łódzkie"
"91-010","Łódź","Polesie","Floriańska","","Łódź","Łódź","łódzkie"
"94-231","Łódź","Polesie","Obozowa","","Łódź","Łódź","łódzkie"
"91-524","Łódź","Bałuty","Orzelskiej Justyny","","Łódź","Łódź","łódzkie"
"91-185","Łódź","Bałuty","Szuberta Wacława (Profesora Wacława Szuberta)","","Łódź","Łódź","łódzkie"
"91-032","Łódź","Bałuty","Żubardzka","2-DK(p), 11-DK(n)","Łódź","Łódź","łódzkie"
"93-221","Łódź","Widzew","Standego Stanisława","","Łódź","Łódź","łódzkie"
"93-564","Łódź","Górna","Wieniawskiego Henryka","","Łódź","Łódź","łódzkie"
"94-274","Łódź","Polesie","Bastionowa","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"90-022","Łódź","Śródmieście","Targowa","1-5(n), 2-10(p)","Łódź","Łódź","łódzkie"
"91-164","Łódź","Bałuty","Cebertowicza Romualda (Profesora Romualda Cebertowicza)","","Łódź","Łódź","łódzkie"
"91-202","Łódź","Bałuty","Sierpowa","","Łódź","Łódź","łódzkie"
"93-469","Łódź","Górna","Gwarków","","Łódź","Łódź","łódzkie"
"93-379","Łódź","Górna","Łazowskiego Klaudiusza","30-DK(p), 31-55(n)","Łódź","Łódź","łódzkie"
"94-224","Łódź","Polesie","Garnizonowa","","Łódź","Łódź","łódzkie"
"94-104","Łódź","Polesie","Obywatelska","90-162(p), 99-191(n)","Łódź","Łódź","łódzkie"
"91-479","Łódź","Bałuty","Orzeszkowej Elizy","12-DK(p), 19-DK(n)","Łódź","Łódź","łódzkie"
"91-357","Łódź","Bałuty","Szwajcera Abrahama","","Łódź","Łódź","łódzkie"
"91-178","Łódź","Bałuty","Żuławskiego Wawrzyńca","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"92-104","Łódź","Widzew","Stokowska","","Łódź","Łódź","łódzkie"
"93-535","Łódź","Górna","Wiosenna","","Łódź","Łódź","łódzkie"
"94-257","Łódź","Polesie","Basztowa","","Łódź","Łódź","łódzkie"
"90-323","Łódź","Śródmieście","Targowa","47-63(n)","Łódź","Łódź","łódzkie"
"91-488","Łódź","Bałuty","Cedrowa","","Łódź","Łódź","łódzkie"
"91-225","Łódź","Bałuty","Skibowa","","Łódź","Łódź","łódzkie"
"93-474","Łódź","Górna","Holownicza","","Łódź","Łódź","łódzkie"
"93-476","Łódź","Górna","Łopianowa","","Łódź","Łódź","łódzkie"
"91-076","Łódź","Polesie","Gazowa","","Łódź","Łódź","łódzkie"
"94-292","Łódź","Polesie","Odważna","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-052","Łódź","Bałuty","Osiedlowa","","Łódź","Łódź","łódzkie"
"91-487","Łódź","Bałuty","Świerkowa","","Łódź","Łódź","łódzkie"
"91-455","Łódź","Bałuty","Żurawia","1-7/9(n)","Łódź","Łódź","łódzkie"
"93-218","Łódź","Widzew","Strzemińskiego Władysława","","Łódź","Łódź","łódzkie"
"93-228","Łódź","Górna","Wiośniana","","Łódź","Łódź","łódzkie"
